Genus,Sizer-6,Sizer-5,Sizer-8,Sizer-4,Sizer-3,Sizer-7,Sizer-2,Sizer-1
Geobacillus,0,0,4,0,1,37,0,2
Rhodospirillum,0,15,5,0,11,1,1,10
Dermabacter,16,0,0,20,0,6,0,0
Brevundimonas,1,0,0,6,0,27,7,0
Thiomonas,0,0,2,3,1,5,28,0
Alkalibacterium,2,0,2,13,0,17,1,2
Serinicoccus,0,6,16,0,1,0,0,13
Jeotgalicoccus,3,4,3,4,1,6,2,12
Erysipelothrix,0,3,6,3,5,13,0,5
Brochothrix,4,5,4,3,5,0,11,3
Glycomyces,5,5,4,2,1,11,2,4
Acidisphaera,31,0,0,1,0,2,0,0
Paracoccus,1,0,0,29,1,1,0,2
Halanaerobium,1,8,7,1,12,2,0,2
Shewanella,0,5,0,2,0,26,0,0
Tolumonas,0,0,0,0,0,28,3,1
Melissococcus,0,10,5,2,1,1,0,13
Candidatus Glomeribacter,1,0,0,30,0,0,0,0
Acidovorax,1,0,0,4,0,26,0,0
Rhodococcus,4,14,0,4,0,4,4,0
Bradyrhizobium,1,1,0,7,1,4,16,0
Arthrobacter,0,1,1,3,2,20,0,3
Saccharopolyspora,1,1,0,8,0,15,4,0
Streptobacillus,0,0,0,7,22,0,0,0
Nesterenkonia,0,3,9,1,4,2,0,10
Sporosarcina,0,0,0,0,0,28,0,0
Luteococcus,13,2,0,4,0,3,3,2
Phenylobacterium,8,1,0,6,1,11,0,0
Tsukamurella,1,0,0,12,0,8,6,0
Desulfovibrio,5,3,1,2,3,8,2,2
Actinokineospora,0,1,11,4,1,5,0,4
Tetragenococcus,0,5,4,0,3,0,0,13
Methylibium,0,0,0,7,0,18,0,0
Sedimentibacter,0,1,1,0,9,6,3,4
Faecalibacterium,2,0,0,1,0,17,0,4
Aeromicrobium,1,0,0,2,0,17,4,0
Cellulomonas,0,1,0,1,1,19,0,1
Salinicoccus,0,2,1,1,0,12,1,6
Niastella,0,0,0,3,0,20,0,0
Yaniella,0,1,0,3,1,18,0,0
Novosphingobium,5,1,0,6,0,10,0,1
Caldilinea,0,0,0,0,3,19,1,0
Planococcus,2,2,4,0,1,13,0,0
Candidatus Blochmannia,2,6,0,3,4,3,3,1
Carnobacterium,0,6,4,0,1,8,0,3
Marinomonas,0,2,0,7,4,0,0,8
Oligella,0,4,0,0,0,17,0,0
Catenibacterium,0,0,0,0,0,21,0,0
Singulisphaera,0,0,0,2,0,0,19,0
Conchiformibius,0,10,0,0,11,0,0,0
Shuttleworthia,0,4,0,0,0,16,0,0
Friedmanniella,0,1,0,0,1,16,2,0
Vogesella,1,7,0,3,0,4,5,0
Knoellia,0,1,10,3,1,1,1,3
